AU,year,title,journal,citations,DOI link
"Constantine, PG | Eldred, MS | Phipps, ET",2012,Sparse pseudospectral approximation method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,83,https://dx.doi.org/10.1016/j.cma.2012.03.019
"Brunner, P | Cook, PG | Simmons, CT",2009,Hydrogeologic controls on disconnection between surface water and groundwater,WATER RESOURCES RESEARCH,82,https://dx.doi.org/10.1029/2008WR006953
"Carvalho, D | Rocha, A | Gomez-Gesteira, M | Santos, C",2012,A sensitivity study of the WRF model in wind simulation for an area of high wind energy,ENVIRONMENTAL MODELLING & SOFTWARE,82,https://dx.doi.org/10.1016/j.envsoft.2012.01.019
"Kavetski, D | Clark, MP",2010,Ancient numerical daemons of conceptual hydrological modeling: 2. Impact of time stepping schemes on model analysis and prediction,WATER RESOURCES RESEARCH,82,https://dx.doi.org/10.1029/2009WR008896
"Clavreul, J | Baumeister, H | Christensen, TH | Damgaard, A",2014,An environmental assessment system for environmental technologies,ENVIRONMENTAL MODELLING & SOFTWARE,81,https://dx.doi.org/10.1016/j.envsoft.2014.06.007
"Wagner, PD | Fiener, P | Wilken, F | Kumar, S | Schneider, K",2012,Comparison and evaluation of spatial interpolation schemes for daily rainfall in data scarce regions,JOURNAL OF HYDROLOGY,81,https://dx.doi.org/10.1016/j.jhydrol.2012.07.026
"Strauch, M | Bernhofer, C | Koide, S | Volk, M | Lorz, C | Makeschin, F",2012,Using precipitation data ensemble for uncertainty analysis in SWAT streamflow simulation,JOURNAL OF HYDROLOGY,81,https://dx.doi.org/10.1016/j.jhydrol.2011.11.014
"Foglia, L | Hill, MC | Mehl, SW | Burlando, P",2009,"Sensitivity analysis, calibration, and testing of a distributed hydrological model using error-based weighting and one objective function",WATER RESOURCES RESEARCH,80,https://dx.doi.org/10.1029/2008WR007255
"Marty, NCM | Tournassat, C | Burnol, A | Giffaut, E | Gaucher, EC",2009,Influence of reaction kinetics and mesh refinement on the numerical modelling of concrete/clay interactions,JOURNAL OF HYDROLOGY,80,https://dx.doi.org/10.1016/j.jhydrol.2008.10.013
"Moradkhani, H | DeChant, CM | Sorooshian, S",2012,Evolution of ensemble data assimilation for uncertainty quantification using the particle filter-Markov chain Monte Carlo method,WATER RESOURCES RESEARCH,80,https://dx.doi.org/10.1029/2012WR012144
"Hupet, F | Vanclooster, M",2001,Effect of the sampling frequency of meteorological variables on the estimation of the reference evapotranspiration,JOURNAL OF HYDROLOGY,79,https://dx.doi.org/10.1016/S0022-1694(00)00413-3
"Kavetski, D | Kuczera, G | Franks, SW",2006,Calibration of conceptual hydrological models revisited: 1. Overcoming numerical artefacts,JOURNAL OF HYDROLOGY,79,https://dx.doi.org/10.1016/j.jhydrol.2005.07.012
"Chen, KP | Blong, R | Jacobson, C",2001,MCE-RISK: integrating multicriteria evaluation and CIS for risk decision-making in natural hazards,ENVIRONMENTAL MODELLING & SOFTWARE,79,https://dx.doi.org/10.1016/S1364-8152(01)00006-8
"Michalak, AM | Kitanidis, PK",2004,Estimation of historical groundwater contaminant distribution using the adjoint state method applied to geostatistical inverse modeling,WATER RESOURCES RESEARCH,78,https://dx.doi.org/10.1029/2004WR003214
"Laloy, E | Rogiers, B | Vrugt, JA | Mallants, D | Jacques, D",2013,Efficient posterior exploration of a high- dimensional groundwater model from two- stage Markov chain Monte Carlo simulation and polynomial chaos expansion,WATER RESOURCES RESEARCH,78,https://dx.doi.org/10.1002/wrcr.20226
"Ewert, F | Rotter, RP | Bindi, M | Webber, H | Trnka, M | Kersebaum, KC | Olesen, JE | van Ittersum, MK | Janssen, S | Rivington, M | Semenov, MA | Wallach, D | Porter, JR | Stewart, D | Verhagen, J | Gaiser, T | Palosuo, T | Tao, F | Nendel, C | Roggero, PP | Bartosova, L | Asseng, S",2015,Crop modelling for integrated assessment of risk to food production from climate change,ENVIRONMENTAL MODELLING & SOFTWARE,78,https://dx.doi.org/10.1016/j.envsoft.2014.12.003
"Lee, I | Choi, KK | Zhao, L",2011,Sampling-based RBDO using the stochastic sensitivity analysis and Dynamic Kriging method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,77,https://dx.doi.org/10.1007/s00158-011-0659-2
"Carpenter, TM | Georgakakos, KP | Sperfslagea, JA",2001,On the parametric and NEXRAD-radar sensitivities of a distributed hydrologic model suitable for operational use,JOURNAL OF HYDROLOGY,77,https://dx.doi.org/10.1016/S0022-1694(01)00476-0
"Andreassian, V | Perrin, C | Michel, C",2004,Impact of imperfect potential evapotranspiration knowledge on the efficiency and parameters of watershed models,JOURNAL OF HYDROLOGY,77,https://dx.doi.org/10.1016/j.jhydrol.2003.09.030
"Makler-Pick, V | Gal, G | Gorfine, M | Hipsey, MR | Carmel, Y",2011,Sensitivity analysis for complex ecological models - A new approach,ENVIRONMENTAL MODELLING & SOFTWARE,77,https://dx.doi.org/10.1016/j.envsoft.2010.06.010
"Talischi, C | Paulino, GH | Pereira, A | Menezes, IFM",2012,PolyTop: a Matlab implementation of a general topology optimization framework using unstructured polygonal finite element meshes,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,76,https://dx.doi.org/10.1007/s00158-011-0696-x
"Szeliga, D | Gawad, J | Pietrzyk, M",2006,Inverse analysis for identification of rheological and friction models in metal forming,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,76,https://dx.doi.org/10.1016/j.cma.2005.03.015
"Keating, EH | Doherty, J | Vrugt, JA | Kang, QJ",2010,Optimization and uncertainty assessment of strongly nonlinear groundwater models with high parameter dimensionality,WATER RESOURCES RESEARCH,76,https://dx.doi.org/10.1029/2009WR008584
"Oudin, L | Michel, C | Anctil, F",2005,Which potential evapotranspiration input for a lumped rainfall-runoff model? Part 1 - Can rainfall-runoff models effectively handle detailed potential evapotranspiration inputs?,JOURNAL OF HYDROLOGY,76,https://dx.doi.org/10.1016/j.jhydrol.2004.08.025
"Di Baldassarre, G | Schumann, G | Bates, PD",2009,A technique for the calibration of hydraulic models using uncertain satellite observations of flood extent,JOURNAL OF HYDROLOGY,74,https://dx.doi.org/10.1016/j.jhydrol.2009.01.020
"Gan, YJ | Duan, QY | Gong, W | Tong, C | Sun, YW | Chu, W | Ye, AZ | Miao, CY | Di, ZH",2014,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,ENVIRONMENTAL MODELLING & SOFTWARE,74,https://dx.doi.org/10.1016/j.envsoft.2013.09.031
"Borgonovo, E | Castaings, W | Tarantola, S",2012,Model emulation and moment-independent sensitivity analysis: An application to environmental modelling,ENVIRONMENTAL MODELLING & SOFTWARE,74,https://dx.doi.org/10.1016/j.envsoft.2011.06.006
"Chu-Agor, ML | Munoz-Carpena, R | Kiker, G | Emanuelsson, A | Linkov, I",2011,Exploring vulnerability of coastal habitats to sea level rise through global sensitivity and uncertainty analyses,ENVIRONMENTAL MODELLING & SOFTWARE,74,https://dx.doi.org/10.1016/j.envsoft.2010.12.003
"Castelletti, A | Galelli, S | Ratto, M | Soncini-Sessa, R | Young, PC",2012,A general framework for Dynamic Emulation Modelling in environmental problems,ENVIRONMENTAL MODELLING & SOFTWARE,74,https://dx.doi.org/10.1016/j.envsoft.2012.01.002
"Cheng, V | Steerners, K",2011,Modelling domestic energy consumption at district scale: A tool to support national and local energy policies,ENVIRONMENTAL MODELLING & SOFTWARE,74,https://dx.doi.org/10.1016/j.envsoft.2011.04.005
"Tang, Y | Reed, P | van Werkhoven, K | Wagener, T",2007,Advancing the identification and evaluation of distributed rainfall-runoff models using global sensitivity analysis,WATER RESOURCES RESEARCH,73,https://dx.doi.org/10.1029/2006WR005813
"Manache, G | Melching, CS",2008,Identification of reliable regression- and correlation-based sensitivity measures for importance ranking of water-quality model parameters,ENVIRONMENTAL MODELLING & SOFTWARE,72,https://dx.doi.org/10.1016/j.envsoft.2007.08.001
"Son, K | Sivapalan, M",2007,Improving model structure and reducing parameter uncertainty in conceptual water balance models through the use of auxiliary data,WATER RESOURCES RESEARCH,72,https://dx.doi.org/10.1029/2006WR005032
"Holmberg, E | Torstenfelt, B | Klarbring, A",2013,Stress constrained topology optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,72,https://dx.doi.org/10.1007/s00158-012-0880-7
"Warmink, JJ | Janssen, JAEB | Booij, MJ | Krol, MS",2010,Identification and classification of uncertainties in the application of environmental models,ENVIRONMENTAL MODELLING & SOFTWARE,71,https://dx.doi.org/10.1016/j.envsoft.2010.04.011
"Yang, J | Reichert, P | Abbaspour, KC",2007,Bayesian uncertainty analysis in distributed hydrologic modeling: A case study in the Thur River basin (Switzerland),WATER RESOURCES RESEARCH,71,https://dx.doi.org/10.1029/2006WR005497
"Li, ZL | Shao, QX | Xu, ZX | Cai, XT",2010,Analysis of parameter uncertainty in semi-distributed hydrological models using bootstrap method: A case study of SWAT model applied to Yingluoxia watershed in northwest China,JOURNAL OF HYDROLOGY,71,https://dx.doi.org/10.1016/j.jhydrol.2010.01.025
"Liu, K | Tovar, A",2014,An efficient 3D topology optimization code written in Matlab,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,70,https://dx.doi.org/10.1007/s00158-014-1107-x
"Yen, H | Wang, XY | Fontane, DG | Harmel, RD | Arabi, M",2014,"A framework for propagation of uncertainty contributed by parameterization, input data, model structure, and calibration/validation data in watershed modeling",ENVIRONMENTAL MODELLING & SOFTWARE,70,https://dx.doi.org/10.1016/j.envsoft.2014.01.004
"Vesselinov, VV | Neuman, SP | Illman, WA",2001,Three-dimensional numerical inversion of pneumatic cross-hole tests in unsaturated fractured tuff 1. Methodology and borehole effects,WATER RESOURCES RESEARCH,70,https://dx.doi.org/10.1029/2000WR000133
"Bohrer, G | Mourad, H | Laursen, TA | Drewry, D | Avissar, R | Poggi, D | Oren, R | Katul, GG",2005,Finite element tree crown hydrodynamics model (FETCH) using porous media flow within branching elements: A new representation of tree hydrodynamics,WATER RESOURCES RESEARCH,70,https://dx.doi.org/10.1029/2005WR004181
"Kasprzyk, JR | Reed, PM | Characklis, GW | Kirsch, BR",2012,Many-objective de Novo water supply portfolio planning under deep uncertainty,ENVIRONMENTAL MODELLING & SOFTWARE,69,https://dx.doi.org/10.1016/j.envsoft.2011.04.003
"Wang, YQ | Luo, Z | Kang, Z | Zhang, N",2015,A multi-material level set-based topology and shape optimization method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,69,https://dx.doi.org/10.1016/j.cma.2014.11.002
"Kisi, O | Dailr, AH | Cimen, M | Shiri, J",2012,Suspended sediment modeling using genetic programming and soft computing techniques,JOURNAL OF HYDROLOGY,69,https://dx.doi.org/10.1016/j.jhydrol.2012.05.031
"Werner, MGF | Hunter, NM | Bates, PD",2005,Identifiability of distributed floodplain roughness values in flood extent estimation,JOURNAL OF HYDROLOGY,69,https://dx.doi.org/10.1016/j.jhydrol.2005.03.012
"Razavi, S | Gupta, HV",2015,"What do we mean by sensitivity analysis? The need for comprehensive characterization of ""global'' sensitivity in Earth and Environmental systems models",WATER RESOURCES RESEARCH,69,https://dx.doi.org/10.1002/2014WR016527
"Yatheendradas, S | Wagener, T | Gupta, H | Unkrich, C | Goodrich, D | Schaffner, M | Stewart, A",2008,Understanding uncertainty in distributed flash flood forecasting for semiarid regions,WATER RESOURCES RESEARCH,68,https://dx.doi.org/10.1029/2007WR005940
"Lopez-Moreno, JI | Goyette, S | Beniston, M",2009,Impact of climate change on snowpack in the Pyrenees: Horizontal spatial variability and vertical gradients,JOURNAL OF HYDROLOGY,68,https://dx.doi.org/10.1016/j.jhydrol.2009.06.049
"Sadiq, R | Husain, T",2005,A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste,ENVIRONMENTAL MODELLING & SOFTWARE,67,https://dx.doi.org/10.1016/j.envsoft.2003.12.007
"Freni, G | Mannina, G | Viviani, G",2009,Urban runoff modelling uncertainty: Comparison among Bayesian and pseudo-Bayesian methods,ENVIRONMENTAL MODELLING & SOFTWARE,67,https://dx.doi.org/10.1016/j.envsoft.2009.03.003
"Gu, CH | Hornberger, GM | Mills, AL | Herman, JS | Flewelling, SA",2007,Nitrate reduction in streambed sediments: Effects of flow and biogeochemical kinetics,WATER RESOURCES RESEARCH,66,https://dx.doi.org/10.1029/2007WR006027
"Gribovszki, Z | Kalicz, P | Szilagyi, J | Kucsara, M",2008,Riparian zone evapotranspiration estimation from diurnal groundwater level fluctuations,JOURNAL OF HYDROLOGY,66,https://dx.doi.org/10.1016/j.jhydrol.2007.10.049
"Karterakis, SM | Karatzas, GP | Nikolos, IK | Papadopoulou, MP",2007,Application of linear programming and differential evolutionary optimization methodologies for the solution of coastal subsurface water management problems subject to environmental criteria,JOURNAL OF HYDROLOGY,66,https://dx.doi.org/10.1016/j.jhydrol.2007.05.027
"Joerin, C | Beven, KJ | Iorgulescu, I | Musy, A",2002,Uncertainty in hydrograph separations based on geochemical mixing models,JOURNAL OF HYDROLOGY,66,https://dx.doi.org/10.1016/S0022-1694(01)00509-1
"Kazakis, N | Voudouris, KS",2015,Groundwater vulnerability and pollution risk assessment of porous aquifers to nitrate: Modifying the DRASTIC method using quantitative parameters,JOURNAL OF HYDROLOGY,66,https://dx.doi.org/10.1016/j.jhydrol.2015.03.035
"Razavi, S | Tolson, BA | Burn, DH",2012,Numerical assessment of metamodelling strategies in computationally intensive optimization,ENVIRONMENTAL MODELLING & SOFTWARE,66,https://dx.doi.org/10.1016/j.envsoft.2011.09.010
"Harmel, RD | Smith, DR | King, KW | Slade, RM",2009,Estimating storm discharge and water quality data uncertainty: A software tool for monitoring and modeling applications,ENVIRONMENTAL MODELLING & SOFTWARE,66,https://dx.doi.org/10.1016/j.envsoft.2008.12.006
"Varella, H | Guerif, M | Buis, S",2010,Global sensitivity analysis measures the quality of parameter estimation: The case of soil parameters and a crop model,ENVIRONMENTAL MODELLING & SOFTWARE,66,https://dx.doi.org/10.1016/j.envsoft.2009.09.012
"Haddad, K | Rahman, A",2012,Regional flood frequency analysis in eastern Australia: Bayesian GLS regression-based methods within fixed region and ROI framework - Quantile Regression vs. Parameter Regression Technique,JOURNAL OF HYDROLOGY,64,https://dx.doi.org/10.1016/j.jhydrol.2012.02.012
"Candela, L | von Igel, W | Elorza, FJ | Aronica, G",2009,"Impact assessment of combined climate and management scenarios on groundwater resources and associated wetland (Majorca, Spain)",JOURNAL OF HYDROLOGY,64,https://dx.doi.org/10.1016/j.jhydrol.2009.07.057
"Le, C | Bruns, T | Tortorelli, D",2011,"A gradient-based, parameter-free approach to shape optimization",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,63,https://dx.doi.org/10.1016/j.cma.2010.10.004
"van der Velde, Y | de Rooij, GH | Rozemeijer, JC | van Geer, FC | Broers, HP",2010,Nitrate response of a lowland catchment: On the relation between stream concentration and travel time distribution dynamics,WATER RESOURCES RESEARCH,63,https://dx.doi.org/10.1029/2010WR009105
"Bastin, L | Cornford, D | Jones, R | Heuvelink, GBM | Pebesma, E | Stasch, C | Nativi, S | Mazzetti, P | Williams, M",2013,Managing uncertainty in integrated environmental modelling: The UncertWeb framework,ENVIRONMENTAL MODELLING & SOFTWARE,62,https://dx.doi.org/10.1016/j.envsoft.2012.02.008
"Hu, C | Youn, BD",2011,Adaptive-sparse polynomial chaos expansion for reliability analysis and design of complex engineering systems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,62,https://dx.doi.org/10.1007/s00158-010-0568-9
"Bolster, D | Barahona, M | Dentz, M | Fernandez-Garcia, D | Sanchez-Vila, X | Trinchero, P | Valhondo, C | Tartakovsky, DM",2009,Probabilistic risk analysis of groundwater remediation strategies,WATER RESOURCES RESEARCH,61,https://dx.doi.org/10.1029/2008WR007551
"Yin, XL | Chen, W | To, A | McVeigh, C | Liu, WK",2008,Statistical volume element method for predicting micro structure-constitutive property relations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,61,https://dx.doi.org/10.1016/j.cma.2008.01.008
"Findeling, A | Ruy, S | Scopel, E",2003,Modeling the effects of a partial residue mulch on runoff using a physically based approach,JOURNAL OF HYDROLOGY,61,https://dx.doi.org/10.1016/S0022-1694(03)00021-0
"Naulet, R | Lang, M | Ouarda, TBMJ | Coeur, D | Bobee, B | Recking, A | Moussay, D",2005,Flood frequency analysis on the Ardeche river using French documentary sources from the last two centuries,JOURNAL OF HYDROLOGY,61,https://dx.doi.org/10.1016/j.jhydrol.2005.02.011
"Thorndahl, S | Beven, KJ | Jensen, JB | Schaarup-Jensen, K",2008,"Event based uncertainty assessment in urban drainage modelling, applying the GLUE methodology",JOURNAL OF HYDROLOGY,61,https://dx.doi.org/10.1016/j.jhydrol.2008.05.027
"Teng, J | Jakeman, AJ | Vaze, J | Croke, BFW | Dutta, D | Kim, S",2017,"Flood inundation modelling: A review of methods, recent advances and uncertainty analysis",ENVIRONMENTAL MODELLING & SOFTWARE,61,https://dx.doi.org/10.1016/j.envsoft.2017.01.006
